Geo_Code,Prov_Name,Topic,Untrimmed Characteristic,Characteristic,Note,Total,Male,Female
1,Canada,Population and dwelling counts,Population in 2011,Population in 2011,1,33476688,,
1,Canada,Population and dwelling counts,Population in 2006,Population in 2006,1,31612897,,
1,Canada,Population and dwelling counts,2006 to 2011 population change (%),2006 to 2011 population change (%),,5.9,,
1,Canada,Population and dwelling counts,Total private dwellings,Total private dwellings,2,14569633,,
1,Canada,Population and dwelling counts,Private dwellings occupied by usual residents,Private dwellings occupied by usual residents,3,13320614,,
1,Canada,Population and dwelling counts,Population density per square kilometre,Population density per square kilometre,,3.7,,
1,Canada,Population and dwelling counts,Land area (square km),Land area (square km),,8965121.42,,
1,Canada,Population by age groups,0 to 4 years,0 to 4 years,,1877095,961150,915945
1,Canada,Population by age groups,5 to 9 years,5 to 9 years,,1809895,925965,883935
1,Canada,Population by age groups,10 to 14 years,10 to 14 years,,1920355,983995,936360
1,Canada,Population by age groups,15 to 19 years,15 to 19 years,,2178135,1115845,1062295
1,Canada,Population by age groups,20 to 24 years,20 to 24 years,,2187450,1108775,1078670
1,Canada,Population by age groups,25 to 29 years,25 to 29 years,,2169590,1077275,1092315
1,Canada,Population by age groups,30 to 34 years,30 to 34 years,,2162905,1058810,1104095
1,Canada,Population by age groups,35 to 39 years,35 to 39 years,,2173930,1064200,1109735
1,Canada,Population by age groups,40 to 44 years,40 to 44 years,,2324875,1141720,1183155
1,Canada,Population by age groups,45 to 49 years,45 to 49 years,,2675130,1318715,1356420
1,Canada,Population by age groups,50 to 54 years,50 to 54 years,,2658965,1309030,1349940
1,Canada,Population by age groups,55 to 59 years,55 to 59 years,,2340635,1147300,1193335
1,Canada,Population by age groups,60 to 64 years,60 to 64 years,,2052670,1002690,1049985
1,Canada,Population by age groups,65 to 69 years,65 to 69 years,,1521715,738010,783705
1,Canada,Population by age groups,70 to 74 years,70 to 74 years,,1153065,543435,609630
1,Canada,Population by age groups,75 to 79 years,75 to 79 years,,922700,417945,504755
1,Canada,Population by age groups,80 to 84 years,80 to 84 years,,702070,291085,410985
1,Canada,Population by age groups,85 years and over,85 years and over,,645515,208300,437215
1,Canada,Marital status,Married (and not separated),Married (and not separated),,12941960,6470300,6471660
1,Canada,Marital status,Living common law,Living common law,,3142525,1575495,1567035
1,Canada,Marital status,Single (never legally married),Single (never legally married),,7816045,4206320,3609730
1,Canada,Marital status,Separated,Separated,,698240,299655,398585
1,Canada,Marital status,Divorced,Divorced,,1686035,680415,1005620
1,Canada,Marital status,Widowed,Widowed,,1584530,310940,1273590
1,Canada,Number of census families in private households,Size of census family: 2 persons,Size of census family: 2 persons,,4679700,,
1,Canada,Number of census families in private households,Size of census family: 3 persons,Size of census family: 3 persons,,2048560,,
1,Canada,Number of census families in private households,Size of census family: 4 persons,Size of census family: 4 persons,,1870305,,
1,Canada,Number of census families in private households,Size of census family: 5 or more persons,Size of census family: 5 or more persons,,791130,,
1,Canada,Family characteristics by type,      Married couples,Married couples,,6293950,,
1,Canada,Number of children at home in married coupled family,         Without children at home,Without children at home,,2891215,,
1,Canada,Number of children at home in married coupled family,         With children at home,With children at home,,3402735,,
1,Canada,Number of children at home in married coupled family,            1 child,1 child,,1288775,,
1,Canada,Number of children at home in married coupled family,            2 children,2 children,,1475220,,
1,Canada,Number of children at home in married coupled family,            3 or more children,3 or more children,,638740,,
1,Canada,Family characteristics by type,      Common-law couples,Common-law couples,,1567910,,
1,Canada,Number of children at home in common-law coupled family,         Without children at home,Without children at home,,861350,,
1,Canada,Number of children at home in common-law coupled family,         With children at home,With children at home,,706555,,
1,Canada,Number of children at home in common-law coupled family,1 child,1 child,,321865,,
1,Canada,Number of children at home in common-law coupled family,2 children,2 children,,273620,,
1,Canada,Number of children at home in common-law coupled family,3 or more children,3 or more children,,111075,,
1,Canada,Family characteristics by type,      Female parent,Female parent,,1200295,,
1,Canada,Number of children at home with female-parent family,         1 child,1 child,,710225,,
1,Canada,Number of children at home with female-parent family,         2 children,2 children,,352150,,
1,Canada,Number of children at home with female-parent family,         3 or more children,3 or more children,,137920,,
1,Canada,Family characteristics by type,      Male parent,Male parent,,327545,,
1,Canada,Number of children at home with male-parent family,1 child,1 child,,216910,,
1,Canada,Number of children at home with male-parent family,2 children,2 children,,85770,,
1,Canada,Number of children at home with male-parent family,3 or more children,3 or more children,,24860,,
1,Canada,Family characteristics by child age,Under six years of age,Under six years of age,,2217355,,
1,Canada,Family characteristics by child age,   6 to 14 years,6 to 14 years,,3322875,,
1,Canada,Family characteristics by child age,   15 to 17 years,15 to 17 years,,1240565,,
1,Canada,Family characteristics by child age,   18 to 24 years,18 to 24 years,,2062245,,
1,Canada,Family characteristics by child age,   25 years and over,25 years and over,,1128280,,
1,Canada,Household and dwelling characteristics,      Living with relatives,Living with relatives,9,735685,309510,426175
1,Canada,Household and dwelling characteristics,      Living with non-relatives only,Living with non-relatives only,,1225115,689960,535150
1,Canada,Household and dwelling characteristics,      Living alone,Living alone,,3673310,1679055,1994250
1,Canada,Household and dwelling characteristics for persons aged 65 years and over,      Living with relatives,Living with relatives,9,224755,52375,172380
1,Canada,Household and dwelling characteristics for persons aged 65 years and over,      Living with non-relatives only,Living with non-relatives only,,87185,42230,44955
1,Canada,Household and dwelling characteristics for persons aged 65 years and over,      Living alone,Living alone,,1215695,351260,864435
1,Canada,Private dwellings by structural type,   Single-detached house,Single-detached house,,7329150,,
1,Canada,Private dwellings by structural type,"   Apartment, building that has five or more storeys","Apartment, building that has five or more storeys",,1234770,,
1,Canada,Private dwellings by structural type,   Movable dwelling,Movable dwelling,16,183510,,
1,Canada,Private dwellings by structural type,      Semi-detached house,Semi-detached house,,646245,,
1,Canada,Private dwellings by structural type,      Row house,Row house,,791600,,
1,Canada,Private dwellings by structural type,"      Apartment, duplex","Apartment, duplex",,704485,,
1,Canada,Private dwellings by structural type,"      Apartment, building that has fewer than five storeys","Apartment, building that has fewer than five storeys",,2397550,,
1,Canada,Private dwellings by structural type,      Other single-attached house,Other single-attached house,,33310,,
1,Canada,Private households by household size,   1 person,1 person,,3673310,,
1,Canada,Private households by household size,   2 persons,2 persons,,4544820,,
1,Canada,Private households by household size,   3 persons,3 persons,,2081900,,
1,Canada,Private households by household size,   4 persons,4 persons,,1903300,,
1,Canada,Private households by household size,   5 persons,5 persons,,724405,,
1,Canada,Private households by household size,   6 or more persons,6 or more persons,,392885,,
1,Canada,Detailed mother tongue,English,English,,18858980,9345225,9513750
1,Canada,Detailed mother tongue,French,French,,7054975,3452380,3602590
1,Canada,Detailed mother tongue,Atikamekw,Atikamekw,,5820,2975,2845
1,Canada,Detailed mother tongue,"Cree, n.o.s.","Cree, n.o.s.",,77900,38055,39845
1,Canada,Detailed mother tongue,Dene,Dene,,11215,5500,5720
1,Canada,Detailed mother tongue,Innu/Montagnais,Innu/Montagnais,,10785,5205,5580
1,Canada,Detailed mother tongue,Inuktitut,Inuktitut,,33500,16725,16775
1,Canada,Detailed mother tongue,Mi'kmaq,Mi'kmaq,,7635,3715,3920
1,Canada,Detailed mother tongue,Ojibway,Ojibway,,17625,8340,9285
1,Canada,Detailed mother tongue,Oji-Cree,Oji-Cree,,9835,4890,4945
1,Canada,Detailed mother tongue,Stoney,Stoney,,3050,1465,1580
1,Canada,Detailed mother tongue,"African languages, n.i.e.","African languages, n.i.e.",,9125,4920,4205
1,Canada,Detailed mother tongue,Afrikaans,Afrikaans,,8770,4370,4400
1,Canada,Detailed mother tongue,Akan (Twi),Akan (Twi),,12680,6145,6535
1,Canada,Detailed mother tongue,Albanian,Albanian,,23820,12205,11610
1,Canada,Detailed mother tongue,Amharic,Amharic,,18020,8745,9275
1,Canada,Detailed mother tongue,Arabic,Arabic,,327870,175535,152335
1,Canada,Detailed mother tongue,Armenian,Armenian,,29795,14525,15265
1,Canada,Detailed mother tongue,"Bantu languages, n.i.e.","Bantu languages, n.i.e.",,7150,3565,3590
1,Canada,Detailed mother tongue,Bengali,Bengali,,59370,30555,28815
1,Canada,Detailed mother tongue,Berber languages (Kabyle),Berber languages (Kabyle),,5855,3210,2645
1,Canada,Detailed mother tongue,Bisayan languages,Bisayan languages,,16240,6185,10055
